date,AAPL_SIM,KRX005930_SIM
2024-07-15,0.000012,-0.004610
2024-07-16,-0.011766,0.011496
2024-07-17,0.000422,-0.042851
2024-07-18,-0.005685,0.020440
2024-07-19,0.001744,-0.009051
2024-07-22,0.014437,0.014997
2024-07-23,-0.038229,0.034700
2024-07-24,-0.004667,0.006690
2024-07-25,0.001849,0.010255
2024-07-26,-0.006014,0.027002
2024-07-29,-0.020421,0.002460
2024-07-30,-0.006162,0.006965
2024-07-31,-0.000262,0.015955
2024-08-01,-0.001173,0.005839
2024-08-02,-0.013034,-0.000135
2024-08-05,-0.012548,-0.007968
2024-08-06,-0.003763,0.004049
2024-08-07,-0.012767,0.000086
2024-08-08,-0.001621,-0.015740
2024-08-09,0.004551,0.001490
2024-08-12,0.002694,-0.031730
2024-08-13,-0.016583,-0.010134
2024-08-14,0.006675,-0.009608
2024-08-15,-0.006905,0.039194
2024-08-16,-0.005271,0.012342
2024-08-19,0.008621,-0.006151
2024-08-20,-0.001666,0.041831
2024-08-21,-0.002919,-0.001828
2024-08-22,-0.003595,-0.004637
2024-08-23,-0.003274,0.022231
2024-08-26,-0.000208,0.008140
2024-08-27,0.011550,0.000642
2024-08-28,-0.012435,-0.011869
2024-08-29,-0.025209,-0.001897
2024-08-30,0.000905,0.004720
2024-09-02,-0.006325,0.017918
2024-09-03,-0.002097,-0.015536
2024-09-04,0.009073,-0.003571
2024-09-05,0.000623,-0.037625
2024-09-06,-0.006717,0.006173
2024-09-09,0.001254,0.001145
2024-09-10,-0.036745,0.005310
2024-09-11,-0.017334,0.035555
2024-09-12,-0.013497,0.011697
2024-09-13,0.003062,-0.012032
2024-09-16,0.016204,0.033467
2024-09-17,-0.002706,0.006539
2024-09-18,-0.006067,0.016740
2024-09-19,-0.012503,0.003961
2024-09-20,-0.001209,0.019787
2024-09-23,-0.018725,-0.047897
2024-09-24,0.000102,-0.007558
2024-09-25,-0.021439,0.017262
2024-09-26,-0.011842,-0.014654
2024-09-27,-0.005250,-0.007386
2024-09-30,-0.002984,-0.021883
2024-10-01,0.008124,0.001100
2024-10-02,-0.006977,-0.012103
2024-10-03,-0.002596,-0.016947
2024-10-04,0.018058,0.001173
2024-10-07,-0.000444,0.027233
2024-10-08,0.007796,-0.007667
2024-10-09,0.000164,-0.035658
2024-10-10,0.005306,0.002669
2024-10-11,0.007447,0.011576
2024-10-14,0.004506,-0.004211
2024-10-15,0.012178,0.055000
2024-10-16,-0.010103,0.006063
2024-10-17,0.005288,0.011144
2024-10-18,-0.029618,0.041405
2024-10-21,-0.011173,0.020850
2024-10-22,-0.058631,-0.020262
2024-10-23,0.000536,-0.005400
2024-10-24,-0.019824,-0.006719
2024-10-25,-0.024372,0.001770
2024-10-28,-0.000579,0.051742
2024-10-29,-0.011277,-0.006865
2024-10-30,0.003004,0.006578
2024-10-31,0.001980,0.023773
2024-11-01,0.010074,0.018665
2024-11-04,-0.019201,0.005668
2024-11-05,-0.000876,0.019331
2024-11-06,0.012754,0.001548
2024-11-07,-0.021991,-0.036386
2024-11-08,-0.009369,0.020299
2024-11-11,0.000887,-0.007291
2024-11-12,0.011666,-0.025421
2024-11-13,-0.000577,-0.007915
2024-11-14,0.005580,-0.002375
2024-11-15,0.007495,-0.003856
2024-11-18,-0.014700,-0.011088
2024-11-19,-0.008357,0.005328
2024-11-20,-0.003867,-0.006568
2024-11-21,-0.026062,-0.007968
2024-11-22,0.001486,0.004732
2024-11-25,-0.001307,0.018169
2024-11-26,-0.000037,-0.006396
2024-11-27,-0.003056,-0.013124
2024-11-28,0.007026,-0.049212
2024-11-29,-0.002994,-0.007260
2024-12-02,0.013544,0.002121
2024-12-03,-0.008303,-0.005773
2024-12-04,0.005408,-0.010068
2024-12-05,-0.012471,0.016284
2024-12-06,-0.004708,-0.003292
2024-12-09,0.002658,0.004479
2024-12-10,-0.006874,-0.013857
2024-12-11,0.003842,-0.004388
2024-12-12,0.008507,0.011776
2024-12-13,-0.000035,0.026968
2024-12-16,0.024485,-0.005503
2024-12-17,-0.010165,0.004666
2024-12-18,-0.007902,-0.038549
2024-12-19,0.007200,-0.013723
2024-12-20,0.003286,0.026862
2024-12-23,-0.012379,-0.016078
2024-12-24,0.011625,0.010160
2024-12-25,-0.011550,0.002200
2024-12-26,-0.002074,-0.018204
2024-12-27,-0.003324,0.013293
2024-12-30,-0.000766,-0.015085
2024-12-31,0.006347,0.001203
2025-01-01,0.012116,-0.003782
2025-01-02,0.007282,-0.004204
2025-01-03,-0.021790,0.012627
2025-01-06,0.003503,-0.013393
2025-01-07,-0.014647,-0.010823
2025-01-08,-0.003288,-0.037787
2025-01-09,-0.008634,-0.065966
2025-01-10,0.014454,-0.002753
2025-01-13,-0.001696,0.006170
2025-01-14,-0.028664,0.007755
2025-01-15,-0.001931,-0.013709
2025-01-16,-0.026656,-0.005279
2025-01-17,0.005009,0.039115
2025-01-20,0.004050,0.007426
2025-01-21,0.007447,-0.005216
2025-01-22,0.011903,0.003012
2025-01-23,-0.004735,-0.020529
2025-01-24,0.029792,0.019932
2025-01-27,-0.006663,0.010688
2025-01-28,-0.002987,0.015573
2025-01-29,0.010363,0.002133
2025-01-30,-0.006639,-0.051239
2025-01-31,-0.008422,-0.026723
2025-02-03,-0.020648,-0.017079
2025-02-04,0.020546,0.000700
2025-02-05,-0.011012,-0.010821
2025-02-06,-0.003475,0.003892
2025-02-07,0.004636,-0.012538
2025-02-10,0.006844,-0.003269
2025-02-11,-0.000849,0.008124
2025-02-12,0.000408,-0.038946
2025-02-13,-0.001041,0.000597
2025-02-14,-0.030394,-0.000787
2025-02-17,0.000635,0.012197
2025-02-18,-0.016408,0.003864
2025-02-19,0.005902,0.002056
2025-02-20,0.008848,0.009410
2025-02-21,-0.018686,0.011304
2025-02-24,0.023207,-0.000345
2025-02-25,-0.000320,-0.004349
2025-02-26,0.033394,0.018276
2025-02-27,-0.020894,-0.002702
2025-02-28,0.013787,-0.029666
2025-03-03,-0.002453,-0.003568
2025-03-04,0.009399,0.026448
2025-03-05,-0.013245,0.012002
2025-03-06,-0.006766,0.012499
2025-03-07,-0.006445,0.032806
2025-03-10,-0.004364,0.012338
2025-03-11,-0.001716,-0.008837
2025-03-12,-0.000275,0.019364
2025-03-13,-0.002089,0.015078
2025-03-14,-0.009159,-0.008378
2025-03-17,-0.009189,0.000500
2025-03-18,0.002945,-0.007765
2025-03-19,-0.011417,-0.007583
2025-03-20,0.002567,-0.005098
2025-03-21,0.001393,-0.003976
2025-03-24,-0.010196,-0.006485
2025-03-25,0.001761,0.023120
2025-03-26,-0.006328,-0.000499
2025-03-27,-0.005845,0.001723
2025-03-28,0.002444,-0.009807
2025-03-31,-0.003939,-0.002953
2025-04-01,0.004604,0.007091
2025-04-02,0.005541,0.018865
2025-04-03,0.005958,0.012120
2025-04-04,-0.013649,0.005364
2025-04-07,0.010129,0.007218
2025-04-08,0.010943,-0.007865
2025-04-09,0.008573,0.002340
2025-04-10,-0.004542,-0.019505
2025-04-11,0.001698,0.015189
2025-04-14,-0.001247,0.008784
2025-04-15,-0.006507,-0.006937
2025-04-16,0.000857,0.023660
2025-04-17,-0.000474,-0.004059
2025-04-18,0.010134,0.000582
2025-04-21,0.006219,-0.019795
2025-04-22,0.006499,0.002513
2025-04-23,-0.021575,-0.018439
2025-04-24,-0.035061,0.022211
2025-04-25,0.008539,0.017263
2025-04-28,-0.000125,0.030749
2025-04-29,-0.001120,0.003938
2025-04-30,0.012671,0.029355
2025-05-01,0.002506,0.011058
2025-05-02,-0.000321,0.002854
2025-05-05,-0.001778,0.015860
2025-05-06,0.014889,0.003362
2025-05-07,-0.011401,0.019843
2025-05-08,0.006021,0.038658
2025-05-09,-0.008846,0.008231
2025-05-12,-0.011678,-0.017736
2025-05-13,0.006575,-0.008877
2025-05-14,-0.065835,0.008144
2025-05-15,-0.008661,-0.015890
2025-05-16,0.006712,-0.020901
2025-05-19,0.000921,-0.032310
2025-05-20,0.001703,0.006009
2025-05-21,-0.003199,0.016788
2025-05-22,0.021373,-0.008808
2025-05-23,0.017642,-0.005701
2025-05-26,0.001085,-0.038443
2025-05-27,-0.036146,0.001314
2025-05-28,-0.008784,-0.012455
2025-05-29,0.007768,-0.009435
2025-05-30,-0.011295,0.034882
2025-06-02,0.012529,-0.011510
2025-06-03,-0.004217,-0.016978
2025-06-04,-0.027899,-0.010867
2025-06-05,0.019927,0.001512
2025-06-06,0.004116,-0.013322
2025-06-09,-0.002668,-0.010238
2025-06-10,0.009082,-0.014672
2025-06-11,0.015263,-0.020092
2025-06-12,-0.017669,-0.006064
2025-06-13,0.003726,0.006158
2025-06-16,-0.016162,-0.041376
2025-06-17,-0.004666,-0.002556
2025-06-18,-0.016792,0.002748
2025-06-19,0.006554,-0.038134
2025-06-20,-0.029268,-0.010141
2025-06-23,-0.005332,-0.015840
2025-06-24,0.007874,-0.007202
2025-06-25,-0.001361,-0.013620
2025-06-26,-0.007655,-0.005791
2025-06-27,-0.000181,0.019334
2025-06-30,0.011264,-0.002428
2025-07-01,0.015896,-0.001459
2025-07-02,-0.003080,-0.010220
2025-07-03,-0.001502,0.027197
2025-07-04,0.025671,0.003419
2025-07-07,0.004533,0.003396
2025-07-08,-0.001649,-0.006216
2025-07-09,0.000805,-0.006886
2025-07-10,0.001125,0.020414
2025-07-11,-0.028432,0.019690
2025-07-14,0.005844,0.006245
2025-07-15,-0.013220,-0.086082
2025-07-16,-0.005996,-0.001443
2025-07-17,-0.026452,-0.008891
2025-07-18,-0.006196,-0.000889
2025-07-21,0.018820,0.017377
2025-07-22,-0.012437,-0.017257
2025-07-23,0.006269,-0.006995
2025-07-24,-0.001658,-0.023959
2025-07-25,-0.001069,-0.001001
2025-07-28,0.006819,-0.005601
2025-07-29,0.004029,-0.000269
2025-07-30,-0.017031,0.005891
2025-07-31,0.004347,0.012694
2025-08-01,0.002007,-0.006080
2025-08-04,-0.003192,-0.003740
2025-08-05,0.001324,0.006862
2025-08-06,-0.008057,0.003480
2025-08-07,0.044270,0.014521
2025-08-08,-0.006977,-0.020262
2025-08-11,-0.005367,0.055000
2025-08-12,-0.012765,-0.019387
2025-08-13,-0.018753,0.002796
2025-08-14,-0.005100,0.003402
2025-08-15,0.007153,-0.097671
2025-08-18,-0.007751,-0.001344
2025-08-19,-0.018142,0.007057
2025-08-20,0.001629,0.030928
2025-08-21,0.013238,0.015828
2025-08-22,0.020769,0.019623
2025-08-25,-0.000823,-0.002577
2025-08-26,-0.013122,0.020802
2025-08-27,0.000162,0.025506
2025-08-28,0.002607,0.004984
2025-08-29,0.004969,0.011940
2025-09-01,0.002620,-0.014825
2025-09-02,-0.010610,-0.028421
2025-09-03,0.009755,0.013633
2025-09-04,-0.002908,-0.009498
2025-09-05,-0.012608,0.005371
2025-09-08,-0.011665,0.015709
2025-09-09,-0.010937,0.005358
2025-09-10,0.006158,0.020105
2025-09-11,-0.001847,0.016235
2025-09-12,0.000675,0.019541
2025-09-15,0.011783,-0.025314
2025-09-16,0.002731,-0.021975
2025-09-17,0.007952,0.010215
2025-09-18,-0.018992,-0.029530
2025-09-19,0.007239,0.003559
2025-09-22,0.013705,0.022170
2025-09-23,-0.001382,0.002123
2025-09-24,0.017113,0.032372
2025-09-25,0.014338,0.004736
2025-09-26,-0.002845,-0.033221
2025-09-29,-0.004028,0.008139
2025-09-30,-0.006191,-0.017407
2025-10-01,-0.007200,-0.019325
2025-10-02,0.000414,-0.002988
2025-10-03,0.011251,-0.033116
2025-10-06,0.010647,-0.022145
2025-10-07,-0.006803,-0.001754
2025-10-08,0.011776,-0.020313
2025-10-09,-0.008370,0.011926
2025-10-10,0.008295,-0.020402
2025-10-13,0.007375,-0.001097
2025-10-14,-0.019718,-0.000209
2025-10-15,0.011506,0.028573
2025-10-16,0.006125,0.024462
2025-10-17,-0.017348,-0.001705
2025-10-20,-0.001195,0.008487
2025-10-21,0.011399,-0.000191
2025-10-22,0.004373,-0.015531
2025-10-23,-0.002846,0.007083
2025-10-24,-0.006929,-0.005609
2025-10-27,0.007258,-0.009665
2025-10-28,0.005097,-0.008820
2025-10-29,-0.046059,-0.012139
2025-10-30,-0.008478,0.006971
2025-10-31,0.000657,0.003120
2025-11-03,-0.021676,0.022901
2025-11-04,0.005561,-0.008669
2025-11-05,-0.002169,0.022487
2025-11-06,-0.031046,0.004952
2025-11-07,-0.006321,0.005554
2025-11-10,0.013748,0.013129
2025-11-11,-0.003585,-0.007476
2025-11-12,0.017874,-0.008654
2025-11-13,-0.008639,0.003857
2025-11-14,0.009271,0.029261
2025-11-17,-0.024479,0.011004
2025-11-18,-0.005415,-0.041367
2025-11-19,-0.014446,0.006015
2025-11-20,0.020805,-0.009380
2025-11-21,-0.003137,0.011657
2025-11-24,-0.005553,0.000928
2025-11-25,-0.006825,0.008852
2025-11-26,-0.027726,-0.042636
2025-11-27,-0.005790,0.009228
