income_100k,debt_100k,defaulted
2.160,1.772,0
1.886,0.375,0
1.853,0.277,0
1.492,1.185,0
2.184,0.288,0
1.323,0.965,0
1.173,1.069,1
1.486,0.739,0
2.133,1.088,0
1.647,0.305,0
1.922,0.334,0
0.571,0.582,0
2.428,0.645,0
4.068,0.617,0
2.588,0.831,0
1.230,0.434,0
0.969,0.204,0
1.608,0.804,0
0.910,0.571,1
1.967,1.002,0
1.120,1.985,1
2.186,0.674,0
2.619,0.884,0
0.569,0.398,0
1.619,1.054,0
1.036,0.776,0
0.752,0.738,0
1.075,1.058,0
1.286,0.350,0
2.260,0.875,0
0.716,0.826,0
2.277,1.523,1
3.519,0.243,0
1.857,0.615,0
1.814,2.108,0
1.411,0.518,0
0.836,0.510,0
1.805,1.690,0
1.687,2.497,0
1.972,0.687,0
4.509,0.439,0
1.969,0.468,0
1.719,0.521,0
2.866,0.409,0
0.775,0.417,0
0.849,0.709,0
1.199,0.659,0
1.057,0.835,1
1.939,0.654,0
1.230,0.336,0
3.105,0.961,0
2.813,0.736,0
2.007,0.471,0
1.193,0.557,0
1.873,0.767,0
2.044,0.672,0
0.878,0.601,0
1.660,0.975,0
1.950,1.145,0
1.564,0.544,0
2.878,0.637,0
2.451,0.354,0
0.979,0.588,0
1.501,0.833,0
0.974,1.028,1
1.842,0.705,0
0.961,0.615,1
2.150,0.438,0
1.690,0.724,0
2.197,0.358,0
1.329,0.690,0
0.737,0.651,0
3.141,0.395,0
1.313,0.769,0
2.637,0.574,0
1.722,0.891,0
1.922,0.496,0
3.233,0.836,0
1.654,1.496,0
2.665,0.709,0
0.728,0.986,0
2.100,0.456,0
1.273,0.532,0
1.336,0.233,0
1.425,0.593,0
1.659,0.350,0
2.991,0.685,0
0.616,0.212,0
1.447,0.405,0
1.028,0.673,0
2.398,0.794,0
1.173,0.264,0
1.743,0.515,0
1.187,2.561,1
1.917,0.984,0
2.240,0.701,0
1.187,0.146,0
1.451,0.392,0
0.749,0.851,0
1.628,0.730,0
2.086,0.822,0
1.105,1.078,0
2.349,0.678,0
0.558,1.017,0
0.617,0.245,0
0.760,2.474,1
1.141,0.548,0
1.431,0.454,0
1.370,1.443,0
1.377,0.890,0
1.965,1.085,0
1.147,0.461,0
0.804,0.748,0
0.811,0.942,0
3.672,0.348,0
0.492,0.571,0
1.311,0.563,0
2.735,0.549,0
1.764,0.440,0
0.977,0.326,0
1.420,0.809,0
2.093,0.732,0
2.444,1.195,0
0.947,0.619,0
1.998,0.447,0
1.590,0.294,0
2.333,0.672,0
2.653,0.543,0
1.216,1.896,1
0.739,2.204,1
1.696,1.499,0
3.157,0.394,0
1.932,0.303,0
1.574,0.565,0
4.181,0.396,0
0.889,1.378,1
2.130,0.683,0
1.098,0.515,0
1.451,0.636,0
1.477,1.261,1
2.806,0.386,0
0.931,0.833,1
1.115,0.314,1
0.693,0.573,0
1.767,0.449,0
1.155,0.759,0
1.716,0.697,0
0.875,1.222,0
1.207,0.927,0
2.265,0.463,0
1.312,0.314,0
1.880,0.413,0
1.800,0.509,0
1.211,0.566,0
0.703,0.426,0
2.211,1.146,0
1.532,1.058,0
2.209,0.553,0
0.574,0.490,0
0.674,0.563,0
0.541,0.625,0
0.956,0.632,0
2.268,0.268,0
1.831,0.508,0
1.397,0.233,0
1.505,0.652,0
1.998,0.921,0
1.239,0.361,0
1.696,0.699,0
1.511,0.460,0
0.530,0.440,0
1.193,1.841,0
2.615,1.033,0
1.188,0.830,0
1.331,0.506,0
1.080,0.798,0
1.141,0.577,0
2.353,0.817,0
1.258,0.394,0
0.896,0.615,0
0.350,0.517,0
1.097,0.299,0
0.586,1.589,1
0.625,0.992,0
2.030,0.418,0
1.952,0.290,0
0.599,0.432,0
2.082,0.407,0
1.745,0.461,0
0.997,0.283,0
1.975,0.409,0
0.683,0.661,1
0.825,0.798,0
0.742,0.220,0
0.861,0.638,0
2.107,0.375,0
0.779,0.364,0
0.845,0.538,0
