date,Close,Volume
2025-07-15,100.38,5492002
2025-07-16,101.19,5177865
2025-07-17,100.08,4009418
2025-07-18,101.91,5912507
2025-07-21,102.17,7191768
2025-07-22,100.66,7017447
2025-07-23,101.65,6616024
2025-07-24,100.92,6692449
2025-07-25,99.78,8637994
2025-07-28,99.80,5136065
2025-07-29,97.93,4083424
2025-07-30,101.07,4200209
2025-07-31,102.14,3979868
2025-08-01,104.82,6056176
2025-08-04,103.75,8277344
2025-08-05,103.73,10638326
2025-08-06,103.58,12318639
2025-08-07,104.06,24525565
2025-08-08,103.94,22983593
2025-08-11,103.99,28100855
2025-08-12,104.65,55747819
2025-08-13,104.34,22482889
2025-08-14,107.39,35325599
2025-08-15,105.11,15013088
2025-08-18,104.47,14558136
2025-08-19,105.67,6089037
2025-08-20,107.02,8281209
2025-08-21,107.65,9253609
2025-08-22,108.61,6784168
2025-08-25,109.87,6742247
2025-08-26,110.31,7068986
2025-08-27,109.72,5906711
2025-08-28,113.23,3539781
2025-08-29,112.59,4069224
2025-09-01,113.37,5973132
2025-09-02,114.04,5036687
2025-09-03,114.70,4525098
2025-09-04,115.01,3061249
2025-09-05,116.32,3380199
2025-09-08,117.56,3301014
2025-09-09,114.12,1648732
2025-09-10,114.41,2470193
2025-09-11,114.15,2355647
2025-09-12,114.79,2374748
2025-09-15,115.73,1548425
2025-09-16,116.12,1748861
2025-09-17,116.77,1599558
2025-09-18,118.25,1612725
2025-09-19,117.84,2039260
2025-09-22,117.11,1493641
2025-09-23,116.90,998527
2025-09-24,116.89,1245853
2025-09-25,116.72,1026543
2025-09-26,115.12,1068181
2025-09-29,116.01,1334146
2025-09-30,117.16,1873376
2025-10-01,118.04,2603357
2025-10-02,117.40,2304034
2025-10-03,117.73,2317498
2025-10-06,115.90,2820527
2025-10-07,113.85,1387237
2025-10-08,114.51,1929861
2025-10-09,114.29,1636100
2025-10-10,113.12,1091661
2025-10-13,112.88,1226117
2025-10-14,113.67,1394898
2025-10-15,114.30,1358393
2025-10-16,113.48,992547
2025-10-17,114.07,1338767
2025-10-20,114.08,1083995
2025-10-21,114.31,1139047
2025-10-22,113.51,1383835
2025-10-23,113.16,727341
2025-10-24,114.01,1236249
2025-10-27,110.73,1021132
2025-10-28,110.82,693976
2025-10-29,110.90,806860
2025-10-30,110.84,726269
2025-10-31,110.45,701735
2025-11-03,110.32,1076579
2025-11-04,110.66,704861
2025-11-05,110.82,494481
2025-11-06,110.90,1018092
2025-11-07,110.44,828120
2025-11-10,110.39,1053693
2025-11-11,111.10,1000755
2025-11-12,109.98,829267
2025-11-13,109.81,815857
