date,MKT,AAPL_S,MSFT_S,GOOGL_S,AMZN_S,META_S,KO_S,PEP_S,XOM_S,JPM_S,JNJ_S
2025-07-15,0.014869,0.014855,0.010838,0.033697,0.030557,0.031969,0.002447,0.004619,0.012605,0.022062,0.005362
2025-07-16,0.009546,0.008500,0.010156,-0.004324,0.011039,0.009238,-0.004069,0.020512,0.008311,0.007900,0.002041
2025-07-17,-0.005706,-0.005891,0.008693,-0.005213,-0.002078,-0.013723,0.005293,-0.002657,-0.006639,-0.016844,-0.008165
2025-07-18,-0.004297,-0.010955,-0.003385,-0.000530,0.000306,-0.008721,0.001562,0.005835,0.000361,-0.009664,-0.001417
2025-07-21,-0.007299,-0.018398,0.000801,-0.006248,-0.005252,-0.032156,0.012103,-0.000635,0.011454,-0.002362,-0.003515
2025-07-22,0.002445,0.013325,0.003351,-0.000977,-0.011917,-0.002929,0.014450,0.003763,0.002302,0.010213,-0.006494
2025-07-23,0.002999,0.003258,0.002150,0.001795,0.010379,0.003348,-0.004972,-0.007618,0.003568,0.007559,0.002494
2025-07-24,-0.011313,-0.012267,-0.020735,-0.013628,-0.006280,-0.009249,-0.007187,-0.007541,-0.006727,-0.015831,0.000989
2025-07-25,-0.014438,0.000635,-0.049000,-0.018122,-0.041349,-0.017579,0.002473,-0.000769,-0.005111,-0.019188,0.003400
2025-07-28,-0.003037,0.012109,-0.004206,-0.006672,-0.004533,-0.032684,0.001592,-0.004499,0.004683,0.010170,0.002283
2025-07-29,-0.002945,0.012422,0.002597,-0.002296,-0.013052,-0.004734,-0.000919,-0.004158,0.004012,-0.022800,-0.005087
2025-07-30,-0.006161,0.020317,0.003620,-0.015296,-0.018782,-0.023317,-0.010253,0.008411,-0.007411,-0.014743,0.001777
2025-07-31,0.008579,0.011924,0.017007,0.010014,0.018614,0.015304,0.005429,-0.005512,0.038930,-0.001059,0.023913
2025-08-01,0.007069,0.011593,-0.002961,0.005756,0.014838,0.005571,0.006972,0.003472,0.010879,0.000853,0.005392
2025-08-04,0.005293,0.017878,0.005753,-0.008972,0.018723,-0.002445,0.004134,0.011888,0.001162,0.019373,-0.004449
2025-08-05,-0.001591,-0.008562,0.014653,0.005791,-0.009549,-0.008989,-0.004041,0.007331,-0.008516,0.004931,0.015018
2025-08-06,0.004200,0.001075,-0.008370,0.003543,0.003862,0.017716,0.004445,0.006545,0.001367,-0.000902,0.004891
2025-08-07,0.011656,0.017315,0.023706,0.013432,0.018427,0.017666,0.012658,0.002405,0.017216,0.022105,-0.005764
2025-08-08,-0.006626,0.003780,-0.007535,-0.008025,-0.012676,-0.004329,0.011602,-0.009358,-0.004528,0.002017,0.004673
2025-08-11,-0.018786,-0.014559,-0.009783,-0.018432,-0.020374,-0.028117,0.001889,-0.017768,-0.012965,-0.022397,-0.009122
2025-08-12,0.016604,0.031457,0.006418,0.013453,0.008407,0.015705,-0.002872,0.015743,-0.002561,0.011144,0.001175
2025-08-13,-0.015768,-0.027080,-0.020080,-0.015202,-0.029395,-0.031313,0.035380,-0.008694,0.012504,-0.022828,-0.006659
2025-08-14,-0.012499,-0.027630,-0.014898,-0.003960,0.001868,-0.009165,-0.007029,-0.004481,-0.003114,-0.021787,-0.003993
2025-08-15,-0.012166,-0.018216,-0.027593,-0.011876,-0.013307,-0.015692,-0.016111,0.008051,-0.000436,-0.025626,-0.000656
2025-08-18,-0.006379,0.017875,-0.007003,-0.014061,-0.008296,-0.005060,-0.011103,-0.002520,0.007235,-0.004989,-0.001686
2025-08-19,0.002148,0.001617,0.002360,-0.001814,-0.006714,0.007511,0.006506,-0.010301,0.006689,0.002574,0.001094
2025-08-20,0.016183,0.019651,0.015305,0.017326,0.016028,0.026397,0.004157,0.012973,0.020700,0.013004,0.016968
2025-08-21,-0.009827,-0.014137,-0.011575,-0.018444,-0.014489,-0.008569,-0.002819,-0.002488,-0.011403,-0.001140,-0.007735
2025-08-22,-0.004714,-0.008162,-0.009066,-0.007862,0.028282,-0.006026,-0.003319,-0.004987,-0.008582,-0.034487,-0.005752
2025-08-25,0.008727,0.024636,0.015384,0.010423,0.039181,0.004771,0.008742,0.009247,0.030119,-0.014255,-0.008516
2025-08-26,0.003822,0.006060,0.005879,0.018738,-0.001658,0.007781,0.008986,0.011307,-0.010649,0.001519,-0.003652
2025-08-27,0.015138,0.027512,0.010673,0.019841,0.026273,0.017746,0.010399,0.030426,0.008595,0.021146,-0.008705
2025-08-28,-0.003511,0.007195,-0.019319,-0.006481,-0.001856,0.002463,0.004615,-0.003862,-0.016040,-0.011668,0.008820
2025-08-29,-0.010599,-0.013768,-0.013442,-0.011987,-0.017049,-0.006813,0.002078,-0.013942,-0.001532,-0.008769,-0.002875
2025-09-01,0.012426,0.015755,0.002577,0.008990,0.016580,0.011124,-0.005388,0.012824,0.024658,0.013066,0.020482
2025-09-02,-0.018348,-0.018312,-0.010714,0.028686,-0.026150,-0.037349,-0.024987,-0.014921,-0.009530,-0.026920,-0.010393
2025-09-03,-0.013016,-0.024625,-0.013892,-0.023617,-0.003302,-0.022221,0.003892,-0.003278,0.011014,-0.015333,-0.005656
2025-09-04,0.016958,0.019942,0.037690,0.017806,0.032224,0.036269,0.006265,0.015353,0.019173,0.007246,0.030968
2025-09-05,-0.012529,-0.020374,-0.017351,-0.028050,-0.027802,-0.015552,-0.024042,-0.014775,-0.006050,-0.017738,-0.021886
2025-09-08,0.021726,0.025895,0.016652,0.024152,0.033262,0.056152,0.018887,0.012136,0.024962,0.016946,0.021562
2025-09-09,0.026445,0.029919,0.030174,0.036117,0.026584,0.035842,0.017802,0.015259,0.000485,0.036010,0.008958
2025-09-10,-0.015699,-0.024091,-0.021927,-0.032614,-0.007370,-0.027972,-0.013974,-0.007840,-0.019632,-0.016765,-0.007789
2025-09-11,0.005937,0.011681,-0.009263,0.021952,0.013210,0.009724,-0.012290,0.005741,0.012971,0.007743,-0.008507
2025-09-12,0.008832,0.024827,0.004527,0.007168,0.008840,0.008614,-0.010572,0.003483,-0.027075,0.012163,0.020666
2025-09-15,-0.009717,0.018038,-0.021487,-0.011451,-0.010546,-0.028623,-0.001647,-0.003656,-0.005523,-0.010288,-0.015483
2025-09-16,0.003144,0.012366,-0.013458,-0.001819,0.004185,0.010288,-0.000902,-0.006517,-0.005169,0.012638,0.009382
2025-09-17,-0.006482,-0.003177,-0.005027,-0.008693,0.000636,-0.012273,-0.004293,-0.003808,-0.039281,-0.002862,-0.018924
2025-09-18,0.008460,-0.000628,0.005550,0.016178,0.007941,0.003212,0.000246,0.004719,0.001015,0.010822,0.024350
2025-09-19,0.023034,0.033483,0.013760,0.026953,0.028759,0.030389,0.016242,0.007438,0.023565,0.031076,-0.003540
2025-09-22,0.019067,0.004902,0.025256,0.002141,0.020762,0.019831,0.018253,0.007696,0.011944,0.036248,0.021280
2025-09-23,-0.018867,-0.012667,-0.018417,-0.047381,-0.026105,-0.016123,-0.005076,0.014486,-0.019892,-0.024261,-0.008565
2025-09-24,-0.017441,-0.029620,-0.028154,-0.021721,-0.019461,-0.031284,-0.004576,-0.004544,0.010262,-0.021789,0.002358
2025-09-25,0.019780,0.025321,0.022829,0.024320,0.026340,0.017502,0.015675,0.010117,0.010495,0.019559,0.013244
2025-09-26,0.007598,-0.001338,0.015281,0.009031,0.001265,-0.001920,0.019135,0.002884,0.009969,0.008491,-0.004787
2025-09-29,0.003521,0.003943,-0.007445,-0.004018,0.010749,0.008145,-0.004207,-0.013627,0.020195,0.011945,0.016119
2025-09-30,-0.002176,0.006151,-0.008349,-0.011933,-0.033295,-0.008333,0.007343,0.006080,-0.000851,0.003654,0.011507
2025-10-01,-0.002532,-0.001942,0.020022,0.000236,-0.001213,0.001759,-0.020357,-0.001091,0.002059,-0.011891,0.010325
2025-10-02,-0.003046,0.000351,-0.011123,-0.015092,-0.014375,0.004865,-0.001315,0.003724,-0.012463,0.013759,0.007078
2025-10-03,-0.011750,-0.020091,-0.016252,-0.016126,-0.009955,-0.015204,-0.004315,0.000603,-0.019342,-0.017161,-0.005738
2025-10-06,0.029732,0.019797,0.030413,0.037840,0.037260,0.033921,0.015507,0.006498,0.033211,0.028823,0.008649
2025-10-07,0.005990,0.001952,-0.001362,0.014084,0.010495,0.022743,0.003250,-0.002047,0.009139,-0.006857,0.045735
2025-10-08,0.002289,0.011663,0.006534,-0.012524,0.000603,0.002702,0.018571,-0.007876,-0.008467,-0.010091,-0.005296
2025-10-09,0.001461,-0.007508,-0.006046,-0.007527,-0.011137,0.006667,-0.016643,0.012841,-0.020241,0.008816,0.006430
2025-10-10,-0.037007,-0.037101,-0.060217,-0.039361,-0.044222,-0.054036,-0.023452,-0.023064,-0.031798,-0.030488,-0.021046
2025-10-13,0.001823,0.000378,0.000827,0.023042,0.013440,0.011124,0.009143,-0.003878,0.010216,-0.003569,0.010213
2025-10-14,-0.011528,-0.010193,-0.016178,-0.011925,-0.005792,-0.017967,-0.003177,-0.004895,-0.032359,-0.023538,-0.002606
2025-10-15,-0.018221,-0.012775,-0.022171,-0.008622,-0.028293,-0.025585,-0.024579,-0.011348,-0.004561,-0.019731,0.001289
2025-10-16,-0.005556,-0.004908,0.001715,0.011843,-0.004088,-0.015025,0.006193,0.002699,-0.001646,-0.017666,0.005072
